name,device_role,tenant,manufacturer,model_name,platform,serial,asset_tag,status,site,rack_group,rack_name,position,face,comments
genesys-esxi-01,Genesys Lab,,Dell,R630,,3P7Q082,3P7Q082,Active,NAP Cage 1,,R2-02,41,Front,
genesys-esxi-02,Genesys Lab,,Dell,R630,,3P7N082,,Active,NAP Cage 1,,R2-02,40,Front,
genesys-esxi-03,Genesys Lab,,Dell,R630,,J3XJGB2,,Active,NAP Cage 1,,R2-02,39,Front,
Guestnet_ASA,Firewall,,Cisco,ASA5508-X,,,,Active,Biltmore Suite 770 Server Room,,TelCo-Rack2,33,Front,
H323PB00,Server,,Dell,R630,,11B6482,,Active,Biltmore Suite 500 Server Room,,DevOps,15,Front,Powered off
hermes.atl.pdrop.net,Server,,Dell,R620,,4PSVHX1,,Active,Biltmore Suite 500 Server Room,,QA,15,Front,"LOM = 10.20.15.1 orly?
slewis is POC"
Honeywell-01,Server,,Honeywell,Honeywell 2u Server,,,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 2,17,Front,
Honeywell-02,Server,,Honeywell,Honeywell 1U server,,,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 2,19,Front,IP on front = 192.168.1.103
HP-V1910-48G,Management Switch,,HP,HP 48 port managed switch,,,,Active,Biltmore Suite 500 Server Room,,DevOps,42,Rear,
hyperv01,Server,,Dell,R330,,BS0SPD2,,Active,Biltmore Suite 500 Server Room,,QA,19,Front,LOM = 10.20.10.51
intsw00,Distribution Switch,,Cisco,WS-C2960X-24TS-L,,FCW2040B0GR,,Active,NAP Cage 1,,R1-01,43,Front,
intsw01,Distribution Switch,,Cisco,WS-C2960X-24TS-L,,FCW2040B0H2,,Active,NAP Cage 1,,R1-01,44,Front,
ISC-1,ISC,,Metaswitch,ISC-R630-2CORE,,F91C8M2,,Active,Equinix District of Columbia,Cage 005325,0103,36,Front,
ISC-2,ISC,,Metaswitch,ISC-R630-2CORE,,F91B8M2,,Active,Equinix District of Columbia,Cage 005325,0103,35,Front,
ISC-SP,ISC,,Metaswitch,ISC-R630-2CORE,,F9198M2,,Active,Equinix District of Columbia,Cage 005325,0103,34,Front,
ITNAS01,Server,,Dell,PowerVault MD1200,,bfmqp2,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 2,30,Front,
ITNAS01-Disk,Server,,Dell,PowerVault MD1200,Linux,dl9t8n2,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 2,28,Front,Disk Tray below itnas01
ixia01,Server,,Ixia,XGS2,,603375,,Offline,NAP Cage 1,,R1-03,37,Front,
J9HCGB2,Server,,Dell,R330,,J9HCGB2,,Active,NAP Cage 1,,R2-01,,,
jenkins-slave06,Server,,Dell,R620,,CW8PZ12,CW8PZ12,Planned,Equinix District of Columbia,Cage 005325,0103,,Front,LOM @ NAP 10.141.8.85
jenkins-slave07,Server,,Dell,R620,,CW6NZ12,CW6NZ12,Active,NAP Cage 1,,R1-02,23,Front,"idrac ip: 10.141.0.141

As far as I can tell, this host does not look to be used in jenkins."
jenkins-slave08,Server,,Dell,R620,,CW6PZ12,CW6PZ12,Active,NAP Cage 1,,R1-02,22,Front,"LOM 10.141.0.140

Tracked as fds-kernel-builder in jenkins2:

https://jenkins2.cc.pdrop.net/computer/fds-kernel-builder/configure

This is Still in use. 
Contact is David Rines"
kojimaster.ss.nap.pdrop.net,Server,,Dell,R320,,184P082,184P082,Active,NAP Cage 1,,R1-07,42,Front,LOM 10.141.0.110
Lloyds FDPI-R1AH,Server,,Dell,R620,,BS0QPD2,,Active,Biltmore Suite 500 Server Room,,QA,20,Front,lom_ip: 10.20.10.52
localhost,Server,,Dell,R620,,FNHX382,FNHX382,Active,NAP Cage 1,,R1-05,30,Front,LOM 10.141.1.204
localhost (CentOS 7),Server,,Dell,R620,,FNHZ382,FNHZ382,Active,NAP Cage 1,,R1-05,29,Front,LOM: 10.141.1.206
localhost (oVirt),Server,,Super Micro,10x2.5 Inch Bays (1U),,05897,05897,Active,NAP Cage 1,,R1-06,18,Front,
lomsw00,Management Switch,,Cisco,WS-C2960X-48TS-L,,FCW2034B1P9,,Active,NAP Cage 1,,R1-01,47,Front,
lomsw01,Management Switch,,Cisco,WS-C2960X-48TS-L,,FCW2034B1R0,,Active,NAP Cage 1,,R1-02,47,Front,
lomsw03,Management Switch,,Cisco,WS-C2960X-48TS-L,,FCW2034B1UJ,,Active,NAP Cage 1,,R1-03,47,Front,
lomsw04,Management Switch,,Cisco,WS-C2960X-48TS-L,,FCW2045B2CY,,Active,NAP Cage 1,,R1-04,47,Front,
lomsw05,Management Switch,,Cisco,WS-C2960X-48TS-L,,FCW2045B2DC,,Active,NAP Cage 1,,R1-05,47,Front,
lomsw06,Management Switch,,Cisco,WS-C2960X-48TS-L,,FCW2045B2DN,,Active,NAP Cage 1,,R1-06,47,Front,
lomsw07,Management Switch,,Cisco,WS-C2960X-48TS-L,,FCW2045B2AW,,Active,NAP Cage 1,,R1-07,47,Front,
Mac Pro,Server,,Apple,Mac Pro,,,,Active,Biltmore Suite 770 Server Room,,Floor 7 Rack 1,,Rear,
MSC1,MSC,Carrier Platform,Metaswitch,MSC-R630-1CORE,Linux,,,Active,Equinix Silicon Valley,,002035,38,Rear,
MSC2,MSC,Carrier Platform,Metaswitch,MSC-R630-1CORE,Linux,,,Active,Equinix Silicon Valley,,002035,37,Rear,
MSC-1,MSC,,Metaswitch,MSC-R630-1CORE,,F92B8M2,,Active,Equinix District of Columbia,Cage 005325,0103,32,Front,
MSC-2,MSC,,Metaswitch,MSC-R630-1CORE,,F91F8M2,,Active,Equinix District of Columbia,Cage 005325,0103,31,Front,
MSC spare,MSC,Carrier Platform,Metaswitch,MSC-R630-1CORE,Linux,,,Active,Equinix Silicon Valley,,002035,36,Rear,
napacilf04,APIC Leaf,,Cisco,N9K-C93120TX,,FDO21131N7A,,Active,NAP Cage 1,,R1-05,45,Front,
